STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/1/2021,25,36,14
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/2/2021,31,43,21
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/3/2021,34,44,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/4/2021,33,47,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/5/2021,29,37,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/6/2021,27,38,16
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/7/2021,30,43,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/8/2021,27,39,18
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/9/2021,26,31,20
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/10/2021,20,28,13
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/11/2021,22,37,10
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/12/2021,31,44,19
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/13/2021,42,53,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/14/2021,34,47,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/15/2021,39,54,24
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/16/2021,37,48,26
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/17/2021,36,51,24
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/18/2021,26,35,20
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/19/2021,24,34,15
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/20/2021,29,46,13
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/21/2021,36,47,26
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/22/2021,33,41,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/23/2021,27,31,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/24/2021,23,34,14
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/25/2021,21,28,11
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/26/2021,21,32,14
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/27/2021,25,33,14
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/28/2021,33,47,26
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/29/2021,32,39,23
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/30/2021,27,37,20
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",1/31/2021,29,43,16
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",2/1/2021,34,47,24
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",2/2/2021,39,50,28
