NAME,DATE,TAVG,TMIN,TMAX
"SPRUCE MOUNTAIN NEVADA, NV US",1/1/2021,25.0,25.0,25.0
"CASPER MOUNTAIN WYOMING, WY US",1/1/2021,20.0,20.0,20.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"BLACK KNOB WASHINGTON, WA US",1/1/2021,46.0,46.0,46.0
"FORT BRAGG NORTH CAROLINA, NC US",1/1/2021,47.0,47.0,47.0
"COLORADO BEND TEXAS, TX US",1/1/2021,38.0,38.0,38.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"SHOCK IDAHO, ID US",1/1/2021,33.0,33.0,33.0
"ELMORE VERMONT, VT US",1/1/2021,24.0,24.0,24.0
"ALLEGHENY PENNSYLVANIA, PA US",1/1/2021,27.0,27.0,27.0
"COLORADO CITY COLORADO, CO US",1/1/2021,37.0,37.0,37.0
"VALENTINE NEBRASKA, NE US",1/1/2021,30.0,30.0,30.0
"SOMERSET KENTUCKY, KY US",1/1/2021,52.0,52.0,52.0
"KIAMICHI OKLAHOMA, OK US",1/1/2021,33.0,33.0,33.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"UNIVERSITY OF HAWAII 713, HI US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"MCFARLAND HILL MAINE, ME US",1/1/2021,27.0,27.0,27.0
"BIG OAKS INDIANA, IN US",1/1/2021,40.0,40.0,40.0
"CONCORD 3.8 SSE, NH US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"EB FORSYTHE NEW JERSEY, NJ US",1/1/2021,39.0,39.0,39.0
"SAVRAW SOUTH CAROLINA, SC US",1/1/2021,67.0,67.0,67.0
"BUFFUMVILLE LAKE, MA US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"RINCON ARIZONA, AZ US",1/1/2021,29.0,29.0,29.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"NINIGRET RHODE ISLAND, RI US",1/1/2021,34.0,34.0,34.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"EFFIE MINNESOTA, MN US",1/1/2021,21.0,21.0,21.0
"DAWSONVILLE GEORGIA, GA US",1/1/2021,53.0,53.0,53.0
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"MDC CLINTON HQTRS MISSOURI, MO US",1/1/2021,31.0,31.0,31.0
"PLEASANT GROVE UTAH, UT US",1/1/2021,27.0,27.0,27.0
"SAND CREEK NORTH DAKOTA, ND US",1/1/2021,30.0,30.0,30.0
"CAMPBELL 1.4 NNW, FL US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"KISATCHIE FTS LOUISIANA, LA US",1/1/2021,46.0,46.0,46.0
"ALLISON OREGON, OR US",1/1/2021,30.0,30.0,30.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/1/2021,52.0,52.0,52.0
"KANSAS CITY 2.1 SSW, KS US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"ALBUQUERQUE 5.0 NE, NM US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"BUDE MISSISSIPPI, MS US",1/1/2021,51.0,51.0,51.0
"MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT, WV US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"MOUNT RUSHMORE SOUTH DAKOTA, SD US",1/1/2021,35.0,35.0,35.0
"ST. MARY MONTANA, MT US",1/1/2021,36.0,36.0,36.0
"BARKHAMSTED, CT US",1/1/2021,36.55172413793103,36.55172413793103,36.55172413793103
"SPRUCE MOUNTAIN NEVADA, NV US",1/2/2021,31.0,31.0,31.0
"CASPER MOUNTAIN WYOMING, WY US",1/2/2021,19.0,19.0,19.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"BLACK KNOB WASHINGTON, WA US",1/2/2021,46.0,46.0,46.0
"FORT BRAGG NORTH CAROLINA, NC US",1/2/2021,54.0,54.0,54.0
"COLORADO BEND TEXAS, TX US",1/2/2021,44.0,44.0,44.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"SHOCK IDAHO, ID US",1/2/2021,33.0,33.0,33.0
"ELMORE VERMONT, VT US",1/2/2021,25.0,25.0,25.0
"ALLEGHENY PENNSYLVANIA, PA US",1/2/2021,34.0,34.0,34.0
"COLORADO CITY COLORADO, CO US",1/2/2021,43.0,43.0,43.0
"VALENTINE NEBRASKA, NE US",1/2/2021,31.0,31.0,31.0
"SOMERSET KENTUCKY, KY US",1/2/2021,45.0,45.0,45.0
"KIAMICHI OKLAHOMA, OK US",1/2/2021,31.0,31.0,31.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"UNIVERSITY OF HAWAII 713, HI US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"MCFARLAND HILL MAINE, ME US",1/2/2021,28.0,28.0,28.0
"BIG OAKS INDIANA, IN US",1/2/2021,36.0,36.0,36.0
"CONCORD 3.8 SSE, NH US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
